Entity,Code,Year,AwayIndicator,HomeIndicator
United States,USA,1975,665,1073.8026
United States,USA,1976,706,1069.324
United States,USA,1977,739,1103.6469
United States,USA,1978,751,1108.2244
United States,USA,1979,766,1090.7065
United States,USA,1980,780,1082.2633
United States,USA,1981,773,1091.7671
United States,USA,1982,764,1074.579
United States,USA,1983,767,1071.9197
United States,USA,1984,786,1104.8073
United States,USA,1985,798,1113
United States,USA,1986,798,1127.6553
United States,USA,1987,819,1126.065
United States,USA,1988,845,1143.4996
United States,USA,1989,877,1152.9998
United States,USA,1990,885,1140.4446
United States,USA,1991,897,1146.8597
United States,USA,1992,898,1154.0859
United States,USA,1993,894,1144.8353
United States,USA,1994,919,1132.0107
United States,USA,1995,934,1130.0936
United States,USA,1996,956,1103.6252
United States,USA,1997,956.0976,1016.8035
United States,USA,1998,968.9133,1007.4607
United States,USA,1999,982.8124,1031.6503
United States,USA,2000,1017.443,1042.1167
United States,USA,2001,1015.7429,1045.511
United States,USA,2002,1025.7188,1041.9707
United States,USA,2003,1049.4225,1053.366
United States,USA,2004,1081.2537,1060.4834
United States,USA,2005,1101.1769,1091.8348
United States,USA,2006,1124.5372,1113.5511
United States,USA,2007,1134.6118,1112.45
United States,USA,2008,1110.3123,1082.5571
United States,USA,2009,1058.7921,1049.1058
United States,USA,2010,1068.835,1064.3088
United States,USA,2011,1100.1652,1060.0835
United States,USA,2012,1121.9244,1093.5542
United States,USA,2013,1153.3413,1097.0269
United States,USA,2014,1197.959,1102.8601
United States,USA,2015,1256.251,1095.6617
United States,USA,2016,1290.4585,1118.485
United States,USA,2017,1332.0754,1153.8422
United States,USA,2018,1356.1178,1182.6439
United States,USA,2019,1372.805,1203.1321
United States,USA,2020,1155.6039,1246.0186
United States,USA,2021,1377.9141,1293.7527
United States,USA,2022,1482.277,1269.1049
